;Resene RGB Values List
;For further information refer to http://www.resene.co.nz
;Copyright Resene Paints Ltd 2001
;
;Permission to copy this software, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1. Any text copy made of this dictionary must include this copyright
;notice in full.
;
;2. Any redistribution in binary form must reproduce this copyright
;notice in the documentation or other materials provided with the
;distribution.
;
;3. Resene Paints Ltd makes no warranty or representation that this
;dictionary is error-free, and is under no obligation to provide
;any services, by way of maintenance, update, or otherwise.
;
;4. There shall be no use of the name of Resene or Resene Paints Ltd in
;any advertising, promotional, or sales literature without prior
;written consent in each case.
;
;5. These RGB* colour formulations may not be used to the detriment of
;Resene Paints Ltd.
;
;*Modified to be hexidecimal format 
Resene Mulled Wine    #4e4562
Resene Mustard    #74640d
Resene My Pink    #d69188
Resene My Sin    #ffb31f
Resene Mystic    #e2ebed
Resene Nandor    #4b5d52
Resene Napa    #aca494
Resene Narvik    #edf9f1
Resene Natural    #86560a
Resene Nebula    #cbdbd6
Resene Negroni    #ffe2c5
Resene Nepal    #8eabc1
Resene Neptune    #7cb7bb
Resene Nero    #140600
Resene Neutral Green    #aca586
Resene Nevada    #646e75
Resene New Amber    #7b3801
Resene New Orleans    #f3d69d
Resene New York Pink    #d7837f
Resene Niagara    #06a189
Resene Night Rider    #1f120f
Resene Night Shadz    #aa375a
Resene Nightclub    #660045
Resene Nile Blue    #193751
Resene Nobel    #b7b1b1
Resene Nomad    #bab1a2
Resene Nordic    #012731
Resene Norway    #a8bd9f
Resene Nugget    #c59922
Resene Nutmeg    #81422c
Resene Nutmeg Wood Finish    #683600
Resene Oasis    #feefce
Resene Observatory    #02866f
Resene Ocean Green    #41aa78
Resene Off Green    #e6f8f3
Resene Off Yellow    #fef9e3
Resene Oil    #281e15
Resene Oiled Cedar    #7c1c05
Resene Old Brick    #901e1e
Resene Old Copper    #724a2f
Resene Olive Green    #242e16
Resene Olive Haze    #8b8470
Resene Olivetone    #716e10
Resene Onahau    #cdf4ff
Resene Onion    #2f270e
Resene Opal    #a9c6c2
Resene Opium    #8e6f70
Resene Oracle    #377475
Resene Orange Roughy    #c45719
Resene Orange White    #fefced
Resene Orchid White    #fffdf3
Resene Oregon    #9b4703
Resene Orient    #015e85
Resene Oriental Pink    #c69191
Resene Orinoco    #f3fbd4
Resene Oslo Grey    #878d91
Resene Ottoman    #e9f8ed
Resene Outer Space    #051040
Resene Oxford Blue    #384555
Resene Oxley    #779e86
Resene Oyster Bay    #dafaff
Resene Oyster Pink    #e9cecd
Resene Paarl    #a65529
Resene Pablo    #776f61
Resene Pacifika    #778120
Resene Paco    #411f10
Resene Padua    #ade6c4
Resene Pale Leaf    #c0d3b9
Resene Pale Oyster    #988d77
Resene Pale Prim    #fdfeb8
Resene Pale Rose    #ffe1f2
Resene Pale Sky    #6e7783
Resene Pale Slate    #c3bfc1
Resene Palm Green    #09230f
Resene Palm Leaf    #19330e
Resene Pampas    #f4f2ee
Resene Panache    #eaf6ee
Resene Pancho    #edcdab
Resene Panda    #423921
Resene Paprika    #8d0226
Resene Paradiso    #317d82
Resene Parchment    #f1e9d2
Resene Paris Daisy    #fff46e
Resene Paris M    #26056a
Resene Paris White    #cadcd4
Resene Parsley    #134f19
Resene Patina    #639a8f
Resene Pattens Blue    #def5ff
Resene Paua    #260368
Resene Pavlova    #d7c498
Resene Pea Soup    #cfe5d2
Resene Peach    #fff0db
Resene Peach Schnapps    #ffdcd6
Resene Peanut    #782f16
Resene Pearl Bush    #e8e0d5
Resene Pearl Lusta    #fcf4dc
Resene Peat    #716b56
Resene Pelorous    #3eabbf
Resene Peppermint    #e3f5e1
Resene Perano    #a9bef2
Resene Perfume    #d0bef8
Resene Periglacial Blue    #e1e6d6
Resene Persian Plum    #701c1c
Resene Persian Red    #520c17
Resene Persimmon    #ff6b53
Resene Peru Tan    #7f3a02
Resene Pesto    #7c7631
Resene Petite Orchid    #db9690
Resene Pewter    #96a8a1
Resene Pharlap    #a3807b
Resene Picasso    #fff39d
Resene Pickled Aspen    #3f4c3a
Resene Pickled Bean    #6e4826
Resene Pickled Bluewood    #314459
Resene Picton Blue    #45b1e8
Resene Pigeon Post    #afbdd9
Resene Pine Cone    #6d5e54
Resene Pine Glade    #c7cd90
Resene Pine Tree    #171f04
Resene Pink Flare    #e1c0c8
Resene Pink Lace    #ffddf4
Resene Pink Lady    #fff1d8
Resene Pink Swan    #beb5b7
Resene Piper    #c96323
Resene Pipi    #fef4cc
Resene Pippin    #ffe1df
Resene Pirate Gold    #ba7f03
Resene Pistachio    #9dc209
Resene Pixie Green    #c0d8b6
Resene Pizazz    #ff9000
Resene Pizza    #c99415
Resene Plantation    #27504b
Resene Planter    #615d30
Resene Plum    #410056
Resene Pohutukawa    #8f021c
Resene Polar    #e5f9f6
Resene Polo Blue    #8da8cc
Resene Pompadour    #660045
Resene Porcelain    #eff2f3
Resene Porsche    #eaae69
Resene Port Gore    #251f4f
Resene Portafino    #ffffb4
Resene Portage    #8b9fee
Resene Portica    #f9e663
Resene Pot Pourri    #f5e7e2
Resene Potters Clay    #8c5738
Resene Powder Blue    #bcc9c2
Resene Prairie Sand    #9a3820
Resene Prelude    #d0c0e5
Resene Prim    #f0e2ec
Resene Primrose    #edea99
Resene Promenade    #fcffe7
Resene Provincial Pink    #fef5f1
Resene Prussian Blue    #003153
Resene Pueblo    #7d2c14
Resene Puerto Rico    #3fc1aa
Resene Pumice    #c2cac4
Resene Pumpkin    #b1610b
Resene Punch    #dc4333
Resene Punga    #4d3d14
Resene Putty    #e7cd8c
Resene Quarter Pearl Lusta    #fffdf4
Resene Quarter Spanish White    #f7f2e1
Resene Quicksand    #bd978e
Resene Quill Grey    #d6d6d1
Resene Quincy    #623f2d
Resene Racing Green    #0c1911
Resene Raffia    #eadab8
Resene Rain Forest    #778120
Resene Raincloud    #7b7c94
Resene Rainee    #b9c8ac
Resene Rajah    #f7b668
Resene Rangitoto    #2e3222
Resene Rangoon Green    #1c1e13
Resene Raven    #727b89
Resene Rebel    #3c1206
Resene Red Beech    #7b3801
Resene Red Berry    #8e0000
Resene Red Damask    #da6a41
Resene Red Devil    #860111
Resene Red Oxide    #6e0902
Resene Red Robin    #80341f
Resene Red Stage    #d05f04
Resene Redwood    #5d1e0f
Resene Reef    #c9ffa2
Resene Reef Gold    #9f821c
Resene Regal Blue    #013f6a
Resene Regent Grey    #86949f
Resene Regent St Blue    #aad6e6
Resene Remy    #feebf3
Resene Reno Sand    #a86515
Resene Resolution Blue    #002387
Resene Revolver    #2c1632
Resene Rhino    #2e3f62
Resene Ribbon    #660045
Resene Rice Cake    #fffef0
Resene Rice Flower    #eeffe2
Resene Rich Gold    #a85307
Resene Rio Grande    #bbd009
Resene Riptide    #8be6d8
Resene River Bed    #434c59
Resene Rob Roy    #eac674
Resene Robins Egg Blue    #bdc8b3
Resene Rock    #4d3833
Resene Rock Blue    #9eb1cd
Resene Rock Salt    #ffffff
Resene Rock Spray    #ba450c
Resene Rodeo Dust    #c9b29b
Resene Rolling Stone    #747d83
Resene Roman    #de6360
Resene Roman Coffee    #795d4c
Resene Romance    #fffefd
Resene Romantic    #ffd2b7
Resene Ronchi    #ecc54e
Resene Roof Terracotta    #a62f20
Resene Rope    #8e4d1e
Resene Rose    #e7bcb4
Resene Rose Bud    #fbb2a3
Resene Rose Bud Cherry    #800b47
Resene Rose of Sharon    #bf5500
Resene Rose White    #fff6f5
Resene Rosewood    #65000b
Resene Roti    #c6a84b
Resene Rouge    #a23b6c
Resene Royal Heath    #ab3472
Resene Rum    #796989
Resene Rum Swizzle    #f9f8e4
Resene Russett    #755a57
Resene Rustic Red    #480404
Resene Rusty Nail    #86560a
Resene Saddle    #4c3024
Resene Saddle Brown    #583401
Resene Saffron    #f9bf58
Resene Sage    #9ea587
Resene Sahara    #b7a214
Resene Sail    #b8e0f9
Resene Salem    #097f4b
Resene Salomie    #fedb8d
Resene Salt Box    #685e6e
Resene Saltpan    #f1f7f2
Resene Sambuca    #3a2010
Resene San Felix    #0b6207
Resene San Juan    #304b6a
Resene San Marino    #456cac
Resene Sand Dune    #826f65
Resene Sandal    #aa8d6f
Resene Sandrift    #ab917a
Resene Sandstone    #796d62
Resene Sandwisp    #f5e7a2
Resene Sandy Beach    #ffeac8
Resene Sangria    #92000a
Resene Sanguine Brown    #8d3d38
Resene Santa Fe    #b16d52
Resene Santas Grey    #9fa0b1
Resene Sapling    #ded4a4
Resene Sapphire    #2f519e
Resene Saratoga    #555b10
Resene Sauvignon    #fff5f3
Resene Sazerac    #fff4e0
Resene Scampi    #675fa6
Resene Scandal    #cffaf4
Resene Scarlet Gum    #431560
Resene Scarlett    #950015
Resene Scarpa Flow    #585562
Resene Schist    #a9b497
Resene Schooner    #8b847e
Resene Scooter    #2ebfd4
Resene Scorpion    #695f62
Resene Scotch Mist    #fffbdc
Resene Scrub    #2e3222
Resene Sea Buckthorn    #fba129
Resene Sea Fog    #fcfff9
Resene Sea Green    #095859
Resene Sea Mist    #c5dbca
Resene Sea Nymph    #78a39c
Resene Sea Pink    #ed989e
Resene Seagull    #80ccea
Resene Seance    #731e8f
Resene Seashell    #f1f1f1
Resene Seaweed    #1b2f11
Resene Selago    #f0eefd
Resene Sepia    #2b0202
Resene Serenade    #fff4e8
Resene Shadow Green    #9ac2b8
Resene Shady Lady    #aaa5a9
Resene Shakespeare    #4eabd1
Resene Shalimar    #fbffba
Resene Shark    #25272c
Resene Sherpa Blue    #004950
Resene Sherwood Green    #02402c
Resene Shilo    #e8b9b3
Resene Shingle Fawn    #6b4e31
Resene Ship Cove    #788bba
Resene Ship Grey    #3e3a44
Resene Shiraz    #b20931
Resene Shocking    #e292c0
Resene Shuttle Grey    #5f6672
Resene Siam    #646a54
Resene Sidecar    #f3e7bb
Resene Silk    #bdb1a8
Resene Silver Chalice    #acacac
Resene Silver Sand    #bfc1c2
Resene Silver Tree    #66b58f
Resene Sinbad    #9fd7d3
Resene Siren    #7a013a
Resene Sirocco    #718080
Resene Sisal    #d3cbba
Resene Skeptic    #cae6da
Resene Slugger    #412010
Resene Smalt Blue    #51808f
Resene Smoke Tree    #da6304
Resene Smokey Ash    #413c37
Resene Smoky    #605b73
Resene Snow Drift    #f7faf7
Resene Snow Flurry    #e4ffd1
Resene Snowy Mint    #d6ffdb
Resene Snuff    #e2d8ed
Resene Soapstone    #fffbf9
Resene Soft Amber    #d1c6b4
Resene Soft Peach    #f5edef
Resene Solid Pink    #893843
Resene Solitaire    #fef8e2
Resene Solitude    #eaf6ff
Resene Sorbus    #fd7c07
Resene Sorrell Brown    #ceb98f
Resene Sour Dough    #d1bea8
Resene Soya Bean    #6a6051
Resene Space Shuttle    #433120
Resene Spanish Green    #819885
Resene Spanish White    #f4ebd3
Resene Spectra    #2f5a57
Resene Spice    #6a442e
Resene Spicy Mix    #885342
Resene Spicy Pink    #816e71
Resene Spindle    #b6d1ea
Resene Splash    #ffefc1
Resene Spray    #79deec
Resene Spring Green    #578363
Resene Spring Rain    #accbb1
Resene Spring Sun    #f6ffdc
Resene Spring Wood    #f8f6f1
Resene Sprout    #c1d7b0
Resene Spun Pearl    #aaabb7
Resene Squirrel    #8f8176
Resene St Tropaz    #2d569b
Resene Stack    #8a8f8a
Resene Star Dust    #9f9f9c
Resene Stark White    #e5d7bd
Resene Starship    #ecf245
Resene Steel Grey    #262335
Resene Stiletto    #9c3336
Resene Stinger    #8b6b0b
Resene Stonewall    #928573
Resene Storm Dust    #646463
Resene Storm Grey    #717486
Resene Stratos    #000741
Resene Straw    #d4bf8d
Resene Strikemaster    #956387
Resene Stromboli    #325d52
Resene Studio    #714ab2
Resene Submarine    #bac7c9
Resene Sugar Cane    #f9fff6
Resene Sulu    #c1f07c
Resene Summer Green    #96bbab
Resene Sun    #fbac13
Resene Sundance    #c9b35b
Resene Sundown    #ffb1b3
Resene Sunflower    #e4d422
Resene Sunglo    #e16865
Resene Sunset    #dc4333
Resene Sunshade    #ff9e2c
Resene Supernova    #ffc901
Resene Surf    #bbd7c1
Resene Surf Crest    #cfe5d2
Resene Surfie Green    #0c7a79
Resene Sushi    #87ab39
Resene Suva Grey    #888387
Resene Swamp    #001b1c
Resene Swans Down    #dcf0ea
Resene Sweet Corn    #fbea8c
Resene Sweet Pink    #fd9fa2
Resene Swirl    #d3cdc5
Resene Swiss Coffee    #ddd6d5
Resene Sycamore    #908d39
Resene Tabasco    #a02712
Resene Tacao    #edb381
Resene Tacha    #d6c562
Resene Tahiti Gold    #e97c07
Resene Tahuna Sands    #eef0c8
Resene Tall Poppy    #b32d29
Resene Tallow    #a8a589
Resene Tamarillo    #991613
Resene Tamarind    #341515
Resene Tana    #d9dcc1
Resene Tangaroa    #03163c
Resene Tangerine    #e96e00
Resene Tango    #ed7a1c
Resene Tapa    #7b7874
Resene Tapestry    #b05e81
Resene Tara    #e1f6e8
Resene Tarawera    #073a50
Resene Tasman    #cfdccf
Resene Taupe Grey    #b3af95
Resene Tawny Port    #692545
Resene Tax Break    #51808f
Resene Te Papa Green    #1e433c
Resene Tea    #c1bab0
Resene Teak    #b19461
Resene Teak Wood Finish    #6b2a14
Resene Teal Blue    #044259
Resene Temptress    #3b000b
Resene Tequila    #ffe6c7
Resene Texas    #f8f99c
Resene Texas Rose    #ffb555
Resene Thatch    #b69d98
Resene Thatch Green    #403d19
Resene Thistle    #cccaa8
Resene Thunder    #33292f
Resene Thunderbird    #c02b18
Resene Tia Maria    #c1440e
Resene Tiara    #c3d1d1
Resene Tiber    #063537
Resene Tidal    #f1ffad
Resene Tide    #bfb8b0
Resene Timber Green    #16322c
Resene Titan White    #f0eeff
Resene Toast    #9a6e61
Resene Tobacco Brown    #715d47
Resene Tobago    #3e2b23
Resene Toledo    #3a0020
Resene Tolopea    #1b0245
Resene Tom Thumb    #3f583b
Resene Tonys Pink    #e79f8c
Resene Topaz    #7c778a
Resene Torea Bay    #0f2d9e
Resene Tory Blue    #1450aa
Resene Tosca    #8d3f3f
Resene Totem Pole    #991b07
Resene Touch Wood    #373021
Resene Tower Grey    #a9bdbf
Resene Tradewind    #5fb3ac
Resene Tranquil    #e6ffff
Resene Travertine    #fffde8
Resene Tree Poppy    #fc9c1d
Resene Treehouse    #3b2820
Resene Trendy Green    #7c881a
Resene Trendy Pink    #8c6495
Resene Trinidad    #e64e03
Resene Tropical Blue    #c3ddf9
Resene Trout    #4a4e5a
Resene True V    #8a73d6
Resene Tuatara    #363534
Resene Tuft Bush    #ffddcd
Resene Tulip Tree    #eab33b
Resene Tumbleweed    #37290e
Resene Tuna    #353542
Resene Tundora    #4a4244
Resene Turbo    #fae600
Resene Turkish Rose    #b57281
Resene Turmeric    #cabb48
Resene Turtle Green    #2a380b
Resene Tuscany    #bd5e2e
Resene Tusk    #eef3c3
Resene Tussock    #c5994b
Resene Tutu    #fff1f9
Resene Twilight    #e4cfde
Resene Twilight Blue    #eefdff
Resene Twine    #c2955d
Resene Valencia    #d84437
Resene Valentino    #350e42
Resene Valhalla    #2b194f
Resene Van Cleef    #49170c
Resene Vanilla    #d1bea8
Resene Vanilla Ice    #f3d9df
Resene Varden    #fff6df
Resene Venetian Red    #72010f
Resene Venice Blue    #055989
Resene Venus    #928590
Resene Verdigris    #5d5e37
Resene Verdun Green    #495400
Resene Vesuvius    #b14a0b
Resene Victoria    #534491
Resene Vida Loca    #549019
Resene Viking    #64ccdb
Resene Vin Rouge    #983d61
Resene Viola    #cb8fa9
Resene Violent Violet    #290c5e
Resene Violet    #240a40
Resene Viridian Green    #678975
Resene Vis Vis    #ffefa1
Resene Vista Blue    #8fd6b4
Resene Vista White    #fcf8f7
Resene Volcano    #651a14
Resene Voodoo    #533455
Resene Vulcan    #10121d
Resene Wafer    #decbc6
Resene Waikawa Grey    #5a6e9c
Resene Waiouru    #363c0d
Resene Walnut    #773f1a
Resene Wan White    #fcfff9
Resene Wasabi    #788a25
Resene Water Leaf    #a1e9de
Resene Watercourse    #056f57
Resene Waterloo     #7b7c94
Resene Wattle    #dcd747
Resene Watusi    #ffddcf
Resene Wax Flower    #ffc0a8
Resene We Peep    #f7dbe6
Resene Wedgewood    #4e7f9e
Resene Well Read    #b43332
Resene West Coast    #625119
Resene West Side    #ff910f
Resene Westar    #dcd9d2
Resene Western Red    #8b0723
Resene Wewak    #f19bab
Resene Wheatfield    #f3edcf
Resene Whiskey    #d59a6f
Resene Whiskey Sour    #db995e
Resene Whisper    #f7f5fa
Resene White Ice    #ddf9f1
Resene White Lilac    #f8f7fc
Resene White Linen    #f8f0e8
Resene White Nectar    #fcffe7
Resene White Pointer    #fef8ff
Resene White Rock    #eae8d4
Resene Wild Rice    #ece090
Resene Wild Sand    #f4f4f4
Resene Wild Willow    #b9c46a
Resene William    #3a686c
Resene Willow Brook    #dfecda
Resene Willow Grove    #65745d
Resene Windsor    #3c0878
Resene Wine Berry    #591d35
Resene Winter Hazel    #d5d195
Resene Wisp Pink    #fef4f8
Resene Wisteria    #9771b5
Resene Wistful    #a4a6d3
Resene Witch Haze    #fffc99
Resene Wood Bark    #261105
Resene Woodburn    #3c2005
Resene Woodland    #4d5328
Resene Woodrush    #302a0f
Resene Woodsmoke    #0c0d0f
Resene Woody Bay    #292130
Resene Woody Brown    #483131
Resene Xanadu    #738678
Resene Yellow Metal    #716338
Resene Yellow Sea    #fea904
Resene Your Pink    #ffc3c0
Resene Yukon Gold    #7b6608
Resene Yuma    #cec291
Resene Zambezi    #685558
Resene Zanah    #daecd6
Resene Zest    #e5841b
Resene Zeus    #292319
Resene Ziggurat    #bfdbe2
Resene Zircon    #f4f8ff
Resene Zombie    #e4d69b
Resene Zorba    #a59b91
Resene Zuccini    #044022
Resene Zumthor    #edf6ff
Resene Zydeco    #02402c
