;Resene RGB Values List
;For further information refer to http://www.resene.co.nz
;Copyright Resene Paints Ltd 2001
;
;Permission to copy this software, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1. Any text copy made of this dictionary must include this copyright
;notice in full.
;
;2. Any redistribution in binary form must reproduce this copyright
;notice in the documentation or other materials provided with the
;distribution.
;
;3. Resene Paints Ltd makes no warranty or representation that this
;dictionary is error-free, and is under no obligation to provide
;any services, by way of maintenance, update, or otherwise.
;
;4. There shall be no use of the name of Resene or Resene Paints Ltd in
;any advertising, promotional, or sales literature without prior
;written consent in each case.
;
;5. These RGB* colour formulations may not be used to the detriment of
;Resene Paints Ltd.
;
;*Modified to be hexidecimal format 
Resene Cabbage Pont    #3f4c3a
Resene Cactus    #587156
Resene Cadillac    #b04c6a
Resene Cafe Royale    #6f440c
Resene Calico    #e0c095
Resene California    #fe9d04
Resene Calypso    #31728d
Resene Camarone    #00581a
Resene Camelot    #893456
Resene Cameo    #d9b99b
Resene Camouflage    #3c3910
Resene Can Can    #d591a4
Resene Canary    #f3fb62
Resene Candlelight    #fcd917
Resene Cannon Black    #251706
Resene Cannon Pink    #894367
Resene Canvas    #a8a589
Resene Cape Cod    #3c4443
Resene Cape Honey    #fee5ac
Resene Cape Palliser    #a26645
Resene Caper    #dcedb4
Resene Capri    #062a78
Resene Caramel    #ffddaf
Resene Cararra    #eeeee8
Resene Cardin Green    #01361c
Resene Cardinal    #8c055e
Resene Careys Pink    #d29eaa
Resene Carissma    #ea88a8
Resene Carla    #f3ffd8
Resene Carnaby Tan    #5c2e01
Resene Carousel Pink    #f9e0ed
Resene Casablanca    #f8b853
Resene Casal    #2f6168
Resene Cascade    #8ba9a5
Resene Cashmere    #e6bea5
Resene Casper    #adbed1
Resene Castro    #52001f
Resene Catalina Blue    #062a78
Resene Catskill White    #eef6f7
Resene Cavern Pink    #e3bebe
Resene Ce Soir    #9771b5
Resene Cedar    #3e1c14
Resene Cedar Wood Finish    #711a00
Resene Celery    #b8c25d
Resene Celeste    #d1d2ca
Resene Cello    #1e385b
Resene Celtic    #163222
Resene Cement    #8d7662
Resene Ceramic    #fcfff9
Resene Chablis    #fff4f3
Resene Chalet Green    #516e3d
Resene Chalky    #eed794
Resene Chambray    #354e8c
Resene Chamois    #eddcb1
Resene Champagne    #faeccc
Resene Chantilly    #f8c3df
Resene Charade    #292937
Resene Chardon    #fff3f1
Resene Chardonnay    #ffcd8c
Resene Charlotte    #baeef9
Resene Charm    #d47494
Resene Chateau Green    #40a860
Resene Chatelle    #bdb3c7
Resene Chathams Blue    #175579
Resene Chelsea Cucumber    #83aa5d
Resene Chelsea Gem    #9e5302
Resene Chenin    #dfcd6f
Resene Cherokee    #fcda98
Resene Cherry Pie    #2a0359
Resene Cherrywood    #651a14
Resene Cherub    #f8d9e9
Resene Chetwode Blue    #8581d9
Resene Chicago    #5d5c58
Resene Chiffon    #f1ffc8
Resene Chilean Fire    #f77703
Resene Chilean Heath    #fffde6
Resene China Ivory    #fcffe7
Resene Chino    #cec7a7
Resene Chinook    #a8e3bd
Resene Chocolate    #370202
Resene Christalle    #33036b
Resene Christi    #67a712
Resene Christine    #e7730a
Resene Chrome White    #e8f1d4
Resene Cigar    #773f1a
Resene Cinder    #0e0e18
Resene Cinderella    #fde1dc
Resene Cinnamon    #7b3f00
Resene Cioccolato    #55280c
Resene Citrine White    #faf7d6
Resene Citron    #9ea91f
Resene Citrus    #a1c50a
Resene Clairvoyant    #480656
Resene Clam Shell    #d4b6af
Resene Claret    #7f1734
Resene Classic Rose    #fbcce7
Resene Clay Creek    #8a8360
Resene Clear Day    #e9fffd
Resene Clementine    #e96e00
Resene Clinker    #371d09
Resene Cloud    #c7c4bf
Resene Cloud Burst    #202e54
Resene Cloudy    #aca59f
Resene Clover    #384910
Resene Cobalt    #062a78
Resene Cocoa Bean    #481c1c
Resene Cocoa Brown    #301f1e
Resene Coconut Cream    #f8f7dc
Resene Cod Grey    #0b0b0b
Resene Coffee    #706555
Resene Coffee Bean    #2a140e
Resene Cognac    #9f381d
